Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,355.1949,88.79872,154.0721,102.9151,128.9879
3,7,1167.199,166.7427,296.0723,127.7382,160.364
4,9,2038.946,226.5495,436.0722,141.7756,182.457
5,13,3670.978,282.3829,578.0726,150.0608,200.4328
6,16,5745.088,359.068,719.0728,163.4928,215.5587
7,18,7636.884,424.2714,860.0723,173.205,228.816
8,22,10564.81,480.2185,1003.071,178.6225,240.8532
9,25,13882.77,555.3109,1143.072,188.3525,251.5742
10,28,17721.77,632.9204,1285.072,197.5205,261.5876
11,30,21120.87,704.0291,1426.071,202.5853,270.8248
12,32,25330.71,791.5848,1568.07,211.5741,279.5314
13,34,29172.72,858.0212,1710.069,217.3155,287.7265
14,38,34315.69,903.0444,1851.069,219.3388,295.4264
15,41,39994.84,975.4839,1994.07,225.8862,302.8457
16,44,46056.73,1046.744,2135.069,231.8327,309.8213
17,48,52656.63,1097.013,2277.069,234.1834,316.5421
18,50,59234.82,1184.696,2416.067,241.2397,322.856
19,53,66673.68,1257.994,2559.067,246.6393,329.1046
20,55,72519.59,1318.538,2698.068,248.7906,334.9592
21,55,77416.63,1407.575,4046.049,253.5526,384.5087
22,57,85371.61,1497.748,4187.05,259.3091,388.9247
23,58,93031.59,1603.993,4328.05,266.0713,393.2426
24,59,101450.7,1719.503,4471.051,274.9909,397.5271
25,56,106207.7,1896.566,4614.052,286.6758,401.7211
26,55,114188.7,2076.158,4757.05,297.2582,405.8293
27,54,120516.8,2231.792,4899.049,306.0558,409.8281
28,50,122248.8,2444.977,5040.048,317.1508,413.7229
29,47,124298.9,2644.657,5182.047,327.2719,417.5728
30,47,130831.9,2783.657,5321.047,333.6167,421.2736
31,46,137446.9,2987.976,6156,341.5298,441.1687
32,46,143979,3129.977,6297.998,347.4363,444.5352
Time Lapsed (s), Asteroids in Universe, Total Mass (kg), Average Mass (kg), Most Massive (kg), Average Radius (km), Largest Radius (km)
1,1,1,1,1,51.96152,51.96152
2,4,354.0054,88.50135,152.0015,103.2202,128.7091
3,7,1165.983,166.569,294.0013,127.8669,160.3651
4,10,2455.041,245.5041,437.0012,145.7805,183.0153
5,14,4238.097,302.7212,580.0016,153.5968,201.1266
6,17,6485.261,381.4859,723.0018,166.8755,216.4577
7,20,9185.103,459.2551,865.002,178.0915,229.7908
8,23,12117.21,526.8351,1008.002,184.2728,241.8136
9,25,15544.21,621.7686,1150.002,196.8156,252.6736
10,28,19404,692.9999,1293.002,203.6504,262.7401
11,32,23644.24,738.8825,1432.003,205.8253,271.8366
12,34,27569.33,810.8625,1571.003,212.5257,280.3623
13,35,31166.61,890.4745,1714.003,220.0672,288.623
14,37,35366.42,955.8492,1858.004,223.2446,296.4893
15,39,39241.52,1006.193,2001.002,227.4792,303.9081
16,42,45066.52,1073.012,2143.001,232.9944,310.9327
17,44,51190.39,1163.418,2283,238.9085,317.5605
18,46,57557.42,1251.248,2425,245.033,324.0124
19,49,64374.35,1313.762,2567,249.2066,330.2181
20,52,69581.46,1338.105,2710.001,248.948,336.2395
21,54,76561.37,1417.803,2851.001,254.4419,341.9735
22,55,82975.37,1508.643,2990.004,260.5942,347.4441
23,59,91025.33,1542.802,3130.005,260.941,352.7849
24,58,98844.34,1704.213,3271.003,274.7268,358.0052
25,57,106346.3,1865.725,3413.003,284.5305,363.1129
26,57,114326.4,2005.725,3553.004,293.7734,368.012
27,56,121691.4,2173.06,3697,303.6862,372.9185
28,56,129699.4,2316.06,3840,311.4811,377.6664
29,55,137369.4,2497.625,3979.001,320.8973,382.1698
30,54,144888.4,2683.118,7042.062,328.4716,462.77
31,52,147019.4,2827.297,7180.066,335.1929,465.7735
